k1,b,NDCG@10,NDCG@100,Recall@10,Recall@100,time_s,avg_latency_ms
0.9,0.9,0.22548,0.29059,0.29399,0.54819,28.59,44.121
0.9,0.8,0.22308,0.28621,0.2912,0.53888,28.864,44.543
0.6,1.0,0.22266,0.28432,0.29083,0.53369,28.53,44.027
1.2,0.8,0.21961,0.28455,0.2874,0.54432,28.088,43.346
0.9,1.0,0.2193,0.28259,0.28766,0.52975,28.286,43.651
1.2,0.7,0.219,0.2828,0.28923,0.53955,28.303,43.677
0.6,0.9,0.21843,0.28337,0.28585,0.54439,28.277,43.637
0.9,0.7,0.21685,0.28176,0.28507,0.54197,28.982,44.726
0.6,0.8,0.21667,0.27991,0.28441,0.53811,28.615,44.159
1.2,0.9,0.21611,0.28144,0.28265,0.53615,27.955,43.14
1.5,0.8,0.21489,0.27816,0.28578,0.53681,28.225,43.558
0.6,0.7,0.21461,0.27695,0.28255,0.53228,28.762,44.386
1.5,0.7,0.21312,0.27773,0.28067,0.53143,28.75,44.368
1.8,0.7,0.21191,0.2754,0.27719,0.5229,28.927,44.64
0.9,0.6,0.21118,0.27454,0.28216,0.53001,28.933,44.649
1.8,0.8,0.2107,0.27252,0.28295,0.52607,28.175,43.48
1.2,1.0,0.21054,0.27559,0.27494,0.52593,27.898,43.052
1.5,0.9,0.21029,0.27488,0.27487,0.52478,28.208,43.53
1.5,0.6,0.20961,0.27337,0.27734,0.52625,29.252,45.142
1.2,0.6,0.20811,0.27233,0.27738,0.5266,28.763,44.387
0.3,1.0,0.20787,0.26948,0.27196,0.5184,28.684,44.265
1.8,0.6,0.20645,0.26901,0.27577,0.5185,29.359,45.307
2.1,0.7,0.20625,0.2671,0.27985,0.51565,28.795,44.437
0.6,0.6,0.20513,0.26774,0.27154,0.52014,28.977,44.718
1.8,0.9,0.20421,0.26668,0.27434,0.518,28.349,43.749
0.3,0.9,0.20375,0.26447,0.26994,0.51083,28.42,43.858
2.1,0.8,0.20346,0.26528,0.27828,0.52032,28.628,44.179
0.9,0.5,0.20337,0.26541,0.27397,0.51671,29.415,45.394
2.4,0.8,0.20317,0.26574,0.27531,0.52182,27.926,43.096
2.1,0.6,0.20288,0.26433,0.27793,0.51875,28.659,44.227
1.5,0.5,0.20206,0.2652,0.27106,0.51956,29.863,46.084
1.2,0.5,0.20195,0.26521,0.27112,0.5164,29.128,44.95
2.4,0.6,0.20152,0.26286,0.27322,0.51263,28.638,44.195
2.4,0.7,0.20134,0.26277,0.27706,0.51631,28.251,43.597
1.5,1.0,0.20115,0.26691,0.2642,0.52025,27.783,42.875
2.1,0.9,0.20045,0.26242,0.26761,0.50833,28.722,44.324
2.7,0.6,0.19899,0.26135,0.26621,0.51087,29.378,45.336
2.7,0.8,0.19729,0.25947,0.27045,0.51688,28.76,44.382
1.8,0.5,0.19716,0.26023,0.26332,0.50873,29.825,46.027
2.7,0.7,0.19642,0.25828,0.27409,0.51624,29.376,45.333
0.6,0.5,0.1958,0.2608,0.25472,0.50927,29.502,45.528
0.3,0.8,0.1957,0.25845,0.25917,0.50881,28.729,44.335
0.3,0.7,0.19555,0.25559,0.26125,0.49993,29.014,44.775
3.0,0.7,0.1951,0.25559,0.27317,0.51234,28.825,44.483
3.0,0.6,0.19474,0.25701,0.26318,0.50953,29.035,44.807
2.4,0.9,0.19439,0.25533,0.26619,0.50155,27.77,42.854
2.1,0.5,0.19409,0.25734,0.26058,0.50631,29.781,45.959
1.8,1.0,0.19394,0.25638,0.26782,0.51307,27.457,42.371
2.4,0.5,0.19359,0.25523,0.2614,0.50157,28.874,44.559
1.5,0.4,0.19211,0.25457,0.26228,0.50415,30.374,46.874
3.0,0.8,0.19173,0.25275,0.2667,0.50852,28.327,43.715
0.9,0.4,0.1916,0.25402,0.25538,0.49668,30.024,46.333
1.2,0.4,0.19074,0.2549,0.25759,0.50561,29.543,45.591
2.7,0.5,0.19029,0.25265,0.25862,0.50193,29.399,45.369
0.6,0.4,0.18966,0.25039,0.25359,0.49115,29.651,45.758
0.3,0.6,0.1896,0.24653,0.25701,0.48161,29.279,45.184
1.8,0.4,0.18906,0.24927,0.26014,0.49273,30.083,46.424
2.1,1.0,0.18709,0.24927,0.25685,0.5002,28.252,43.599
2.1,0.4,0.18652,0.2466,0.25854,0.49215,29.802,45.99
2.7,0.9,0.18493,0.24778,0.25664,0.49983,27.831,42.949
3.0,0.5,0.18323,0.24832,0.25047,0.50637,29.685,45.81
0.3,0.5,0.18263,0.23965,0.24584,0.46991,29.936,46.198
1.5,0.3,0.18242,0.24469,0.24721,0.48655,30.257,46.692
2.4,0.4,0.18216,0.24385,0.25154,0.49041,29.525,45.563
1.2,0.3,0.18011,0.24425,0.24356,0.49201,29.82,46.018
0.9,0.3,0.17978,0.24325,0.2425,0.48629,30.286,46.737
3.0,0.9,0.17954,0.2421,0.25148,0.49423,27.632,42.642
0.6,0.3,0.17865,0.23922,0.24184,0.4815,30.168,46.555
2.4,1.0,0.17832,0.24171,0.24778,0.49861,27.385,42.261
1.8,0.3,0.17736,0.23745,0.2488,0.48181,29.636,45.734
2.7,0.4,0.17719,0.24033,0.24484,0.49066,30.096,46.445
3.0,0.4,0.1748,0.23752,0.24421,0.49165,29.838,46.047
2.1,0.3,0.17348,0.23536,0.24133,0.48322,29.989,46.279
2.7,1.0,0.17245,0.23598,0.24139,0.49297,28.348,43.748
0.3,0.4,0.17202,0.22996,0.22969,0.45582,30.135,46.504
2.4,0.3,0.17158,0.23068,0.24282,0.47342,29.844,46.056
2.7,0.3,0.16868,0.22949,0.23209,0.46848,30.236,46.661
0.6,0.2,0.16717,0.22492,0.23033,0.45713,30.666,47.324
0.9,0.2,0.16709,0.22981,0.22677,0.47454,30.663,47.319
0.3,0.3,0.16678,0.22166,0.22468,0.44123,30.501,47.07
3.0,1.0,0.16613,0.22904,0.23403,0.48122,27.921,43.088
1.5,0.2,0.16595,0.22722,0.22798,0.46481,31.042,47.904
1.2,0.2,0.16512,0.22876,0.22432,0.4707,30.641,47.285
1.8,0.2,0.16482,0.22556,0.22817,0.46285,30.487,47.047
3.0,0.3,0.16425,0.22482,0.22904,0.46418,30.668,47.327
2.1,0.2,0.16178,0.22124,0.22973,0.4608,30.978,47.806
2.4,0.2,0.15717,0.21788,0.22032,0.45574,30.462,47.009
2.7,0.2,0.15679,0.21556,0.22383,0.45353,30.722,47.41
0.3,0.2,0.15356,0.20875,0.20601,0.42255,31.12,48.025
3.0,0.2,0.14974,0.2103,0.21453,0.45193,31.111,48.011
1.5,0.1,0.14783,0.20841,0.20096,0.4361,32.066,49.484
1.2,0.1,0.14636,0.20721,0.20139,0.43896,31.559,48.702
1.8,0.1,0.14567,0.20634,0.19774,0.43611,32.046,49.453
0.9,0.1,0.14564,0.20724,0.19761,0.43689,31.618,48.794
0.6,0.1,0.14539,0.20066,0.20283,0.41552,31.812,49.093
