k1,b,NDCG@10,NDCG@100,Recall@10,Recall@100,time_s,avg_latency_ms
1.8,1.0,0.16049,0.22969,0.17243,0.37703,52.709,52.709
2.1,1.0,0.16019,0.23037,0.17107,0.37778,53.797,53.797
1.5,1.0,0.15993,0.23017,0.16983,0.37748,52.315,52.315
1.5,0.9,0.15926,0.23017,0.16923,0.37863,51.663,51.663
2.4,1.0,0.15883,0.229,0.16967,0.37518,51.779,51.779
1.2,0.9,0.15866,0.22895,0.16892,0.37643,52.341,52.341
1.8,0.9,0.15852,0.22878,0.16923,0.37598,53.292,53.292
1.2,1.0,0.15835,0.22876,0.16878,0.37728,52.701,52.701
2.1,0.9,0.15833,0.2288,0.16823,0.37473,52.593,52.593
1.2,0.8,0.15766,0.2285,0.16857,0.37843,52.121,52.121
2.7,0.9,0.15714,0.22719,0.16862,0.37518,52.412,52.412
2.7,1.0,0.15709,0.22749,0.16962,0.37663,53.087,53.087
1.8,0.8,0.15709,0.22784,0.16768,0.37608,52.556,52.556
1.5,0.8,0.15693,0.22757,0.16823,0.37693,51.751,51.751
0.9,0.9,0.15689,0.22709,0.16758,0.37583,53.005,53.005
3.0,0.9,0.15686,0.22596,0.16987,0.37408,51.597,51.597
0.9,0.8,0.15677,0.22599,0.1687,0.37415,52.748,52.748
2.4,0.9,0.15668,0.22698,0.16808,0.37458,51.645,51.645
1.2,0.7,0.1565,0.22694,0.16835,0.37798,52.852,52.852
3.0,1.0,0.15648,0.22647,0.16922,0.37513,51.864,51.864
1.5,0.7,0.15635,0.22559,0.16877,0.37393,51.987,51.987
2.1,0.8,0.15613,0.22699,0.16683,0.37543,54.065,54.065
0.9,1.0,0.1558,0.22587,0.16743,0.37443,52.644,52.644
2.7,0.8,0.15496,0.22515,0.16613,0.37245,51.77,51.77
1.8,0.7,0.15488,0.22558,0.16563,0.37358,53.461,53.461
1.2,0.6,0.15488,0.22405,0.1669,0.37193,52.041,52.041
1.5,0.6,0.15473,0.22376,0.16775,0.37238,52.567,52.567
0.9,0.7,0.15426,0.22355,0.16485,0.36985,53.075,53.075
2.4,0.8,0.15422,0.22604,0.16518,0.376,51.732,51.732
