k1,b,NDCG@10,NDCG@100,Recall@10,Recall@100,avg_search_time_ms
3.0,0.4,0.66971,0.48123,0.01859,0.11601,47.969
2.7,0.4,0.6667,0.48014,0.01848,0.11634,43.618
2.7,0.5,0.66482,0.47844,0.01823,0.11617,45.381
2.4,0.5,0.66405,0.47695,0.01809,0.11632,41.901
2.7,0.3,0.6633,0.48028,0.01825,0.11635,43.109
2.4,0.3,0.66323,0.47632,0.01834,0.1157,43.685
2.4,0.6,0.66155,0.47625,0.01796,0.11701,43.418
2.1,0.6,0.66096,0.47232,0.01774,0.11588,42.075
3.0,0.3,0.66093,0.48112,0.01857,0.11638,45.673
2.1,0.5,0.65896,0.47343,0.01804,0.11603,44.268
2.4,0.4,0.65851,0.47742,0.01834,0.11625,42.405
2.1,0.4,0.65799,0.47317,0.01812,0.11516,45.379
3.0,0.5,0.65767,0.48135,0.01815,0.1171,45.429
3.0,0.6,0.65708,0.47817,0.01775,0.11671,42.993
1.8,0.6,0.65633,0.46754,0.0179,0.11501,41.757
1.8,0.5,0.65424,0.46959,0.01777,0.11504,44.749
2.7,0.6,0.65377,0.47536,0.01771,0.11633,43.926
3.0,0.7,0.65367,0.4733,0.01752,0.11668,45.695
2.7,0.7,0.65247,0.47299,0.01738,0.11665,43.517
2.1,0.3,0.65223,0.47256,0.01829,0.1155,42.754
2.4,0.7,0.65106,0.47083,0.01727,0.11577,43.027
1.8,0.4,0.6508,0.47049,0.01792,0.11493,43.884
1.8,0.7,0.6496,0.46364,0.01747,0.11454,43.142
2.1,0.7,0.64877,0.46823,0.01729,0.11522,43.207
1.8,0.3,0.64615,0.46897,0.01774,0.11482,43.034
1.5,0.4,0.64436,0.46526,0.01772,0.11377,43.686
1.5,0.6,0.64351,0.46004,0.0178,0.11428,41.811
1.5,0.5,0.64182,0.46391,0.01792,0.1141,41.547
1.5,0.7,0.6416,0.45922,0.01733,0.11454,41.578
3.0,0.2,0.63986,0.47695,0.01779,0.1158,44.195
1.5,0.3,0.63865,0.46228,0.01734,0.1131,42.681
2.7,0.2,0.63795,0.47414,0.0176,0.11523,42.999
2.4,0.2,0.6378,0.47183,0.01756,0.11473,44.088
2.1,0.2,0.63207,0.47004,0.01747,0.11482,43.887
1.2,0.5,0.62973,0.45781,0.01732,0.11344,42.533
1.8,0.2,0.62846,0.46714,0.01698,0.11427,43.875
2.4,0.8,0.62362,0.45681,0.01618,0.11336,42.663
1.2,0.4,0.62272,0.45542,0.0169,0.11263,42.1
2.1,0.8,0.62264,0.45626,0.01633,0.11352,43.726
2.7,0.8,0.62231,0.4576,0.01624,0.11366,43.749
1.2,0.6,0.62086,0.45405,0.01682,0.11365,44.157
1.2,0.7,0.62039,0.4506,0.01676,0.11292,41.207
3.0,0.8,0.61947,0.45604,0.01646,0.11292,44.782
1.2,0.3,0.61903,0.45354,0.01654,0.112,43.986
1.8,0.8,0.6171,0.45242,0.01652,0.11293,41.207
1.2,0.8,0.61379,0.44491,0.01656,0.11216,41.188
